"age","race","sex","native-country"
22,"White","Male","United-States"
21,"White","Female","United-States"
40,"White","Male","United-States"
30,"Black","Male","Germany"
29,"White","Male","United-States"
19,"Black","Male","United-States"
47,"White","Female","United-States"
20,"White","Female","United-States"
31,"White","Male","United-States"
39,"White","Male","United-States"
28,"White","Female","United-States"
24,"White","Female","United-States"
38,"White","Male","United-States"
37,"White","Male","United-States"
46,"Black","Female","United-States"
38,"White","Male","Iran"
43,"White","Male","United-States"
27,"White","Female","United-States"
20,"White","Male","United-States"
49,"Asian-Pac-Islander","Male","United-States"
61,"White","Male","United-States"
27,"White","Female","United-States"
19,"White","Male","Mexico"
45,"White","Female","United-States"
70,"White","Male","United-States"
31,"Black","Female","United-States"
22,"White","Male","United-States"
36,"White","Female","United-States"
64,"White","Male","United-States"
47,"White","Female","Mexico"
34,"White","Female","United-States"
33,"Asian-Pac-Islander","Female","Philippines"
21,"White","Male","United-States"
48,"White","Male","United-States"
23,"White","Male","United-States"
71,"Black","Male","United-States"
29,"White","Male","United-States"
42,"Black","Male","United-States"
25,"White","Female","United-States"
44,"Asian-Pac-Islander","Female","United-States"
28,"Asian-Pac-Islander","Female","England"
45,"White","Male","United-States"
36,"White","Female","Mexico"
39,"White","Male","United-States"
46,"White","Male","United-States"
18,"White","Male","United-States"
66,"White","Female","United-States"
27,"White","Male","United-States"
28,"White","Male","United-States"
51,"White","Male","United-States"
27,"White","Male","United-States"
28,"White","Male","United-States"
27,"White","Female","United-States"
21,"Black","Male","United-States"
34,"Black","Male","United-States"
18,"White","Male","United-States"
33,"White","Male","United-States"
44,"Black","Male","United-States"
43,"White","Female","United-States"
30,"Black","Male","United-States"
40,"White","Male","Mexico"
37,"White","Male","United-States"
34,"Black","Male","United-States"
41,"White","Female","United-States"
31,"White","Female","United-States"
58,"White","Male","United-States"
38,"Black","Female","United-States"
24,"White","Male","United-States"
41,"Black","Male","United-States"
47,"White","Male","United-States"
41,"White","Male","United-States"
23,"White","Male","Mexico"
36,"White","Male","United-States"
40,"White","Female","United-States"
35,"White","Male","United-States"
24,"White","Male","United-States"
26,"White","Female","United-States"
51,"White","Male","United-States"
42,"White","Female","United-States"
37,"White","Female","United-States"
18,"White","Female","United-States"
36,"Black","Male","United-States"
35,"White","Male","United-States"
58,"White","Female","United-States"
17,"White","Female","United-States"
44,"Black","Male","United-States"
37,"White","Male","United-States"
35,"Amer-Indian-Eskimo","Female","United-States"
60,"Asian-Pac-Islander","Male","United-States"
54,"White","Male","United-States"
37,"Black","Male","United-States"
50,"White","Female","United-States"
38,"White","Male","Poland"
45,"White","Male","United-States"
25,"White","Male","United-States"
31,"White","Male","United-States"
90,"Black","Male","United-States"
54,"Black","Male","United-States"
53,"White","Female","United-States"
18,"White","Female","United-States"
66,"White","Male","United-States"
75,"White","Female","Columbia"
65,"White","Female","United-States"
35,"Black","Male","United-States"
41,"Black","Female","United-States"
25,"White","Male","United-States"
33,"Other","Female","United-States"
28,"White","Male","United-States"
59,"White","Male","United-States"
40,"White","Female","United-States"
41,"White","Male","Iran"
38,"White","Male","United-States"
23,"White","Male","United-States"
40,"White","Male","United-States"
41,"White","Female","United-States"
24,"White","Male","United-States"
38,"White","Male","United-States"
58,"White","Male","United-States"
32,"White","Female","United-States"
40,"White","Male","United-States"
41,"White","Female","United-States"
42,"Black","Female","United-States"
59,"Black","Female","United-States"
19,"White","Male","United-States"
58,"White","Male","United-States"
42,"Asian-Pac-Islander","Male","Cambodia"
20,"White","Female","United-States"
32,"White","Female","United-States"
45,"White","Female","United-States"
50,"White","Male","United-States"
36,"White","Female","United-States"
45,"White","Male","United-States"
17,"White","Male","United-States"
59,"White","Male","United-States"
26,"White","Male","United-States"
37,"Asian-Pac-Islander","Male","Thailand"
64,"White","Male","United-States"
33,"White","Female","United-States"
33,"White","Female","United-States"
61,"White","Male","United-States"
17,"White","Male","United-States"
50,"White","Male","United-States"
27,"White","Male","United-States"
30,"White","Female","United-States"
43,"Black","Male","United-States"
44,"White","Male","United-States"
35,"White","Female","United-States"
25,"White","Female","United-States"
24,"White","Female","United-States"
22,"White","Female","Germany"
42,"White","Male","United-States"
34,"Black","Female","United-States"
60,"White","Female","United-States"
21,"White","Male","United-States"
57,"White","Male","United-States"
41,"White","Male","United-States"
50,"White","Male","United-States"
25,"White","Female","United-States"
50,"White","Male","Ecuador"
36,"White","Male","United-States"
31,"White","Female","United-States"
29,"White","Male","United-States"
21,"White","Male","United-States"
27,"Black","Female","United-States"
65,"White","Male","United-States"
37,"White","Female","United-States"
24,"White","Male","United-States"
38,"White","Male","United-States"
48,"White","Male","United-States"
21,"Asian-Pac-Islander","Female","United-States"
31,"White","Male","United-States"
55,"White","Male","United-States"
24,"Asian-Pac-Islander","Female","Laos"
43,"White","Female","United-States"
26,"White","Male","United-States"
46,"White","Female","United-States"
35,"White","Male","United-States"
41,"White","Male","United-States"
26,"White","Male","United-States"
34,"Asian-Pac-Islander","Male","Taiwan"
36,"Black","Female","United-States"
22,"White","Male","United-States"
24,"White","Male","United-States"
77,"White","Male","United-States"
22,"White","Female","Mexico"
29,"White","Female","United-States"
62,"White","Female","United-States"
39,"White","Male","United-States"
43,"White","Male","United-States"
35,"White","Male","United-States"
29,"White","Female","United-States"
76,"White","Male","United-States"
63,"White","Male","United-States"
43,"White","Female","United-States"
58,"White","Male","United-States"
66,"White","Male","United-States"
41,"Black","Male","United-States"
26,"White","Male","United-States"
47,"White","Male","United-States"
55,"White","Male","United-States"
53,"White","Male","United-States"
17,"White","Male","Mexico"
30,"White","Male","United-States"
49,"White","Male","United-States"
19,"Black","Male","Haiti"
45,"Black","Male","United-States"
26,"White","Male","United-States"
38,"White","Male","United-States"
36,"White","Male","United-States"
33,"White","Male","United-States"
22,"Black","Female","United-States"
43,"White","Male","United-States"
56,"White","Male","Iran"
31,"White","Male","United-States"
33,"White","Male","United-States"
26,"White","Male","United-States"
33,"White","Male","United-States"
46,"White","Male","United-States"
38,"White","Male","United-States"
65,"Other","Male","United-States"
40,"White","Male","United-States"
42,"White","Female","United-States"
26,"White","Male","Portugal"
36,"White","Female","United-States"
62,"White","Male","United-States"
43,"White","Male","United-States"
43,"White","Male","United-States"
22,"White","Male","United-States"
28,"White","Male","United-States"
56,"White","Male","United-States"
22,"White","Female","United-States"
57,"White","Female","United-States"
39,"White","Female","United-States"
26,"White","Female","United-States"
17,"White","Male","United-States"
40,"White","Male","United-States"
45,"Black","Male","United-States"
44,"Black","Male","United-States"
20,"White","Female","United-States"
33,"White","Female","United-States"
23,"White","Male","United-States"
46,"White","Male","United-States"
38,"White","Male","United-States"
54,"White","Male","United-States"
46,"White","Female","United-States"
25,"White","Male","United-States"
46,"White","Female","United-States"
36,"White","Female","United-States"
23,"White","Female","United-States"
29,"White","Male","United-States"
44,"White","Female","United-States"
19,"White","Female","United-States"
19,"White","Female","United-States"
35,"White","Female","United-States"
27,"White","Male","United-States"
46,"White","Male","United-States"
34,"White","Female","United-States"
44,"White","Male","United-States"
45,"White","Female","United-States"
25,"White","Male","United-States"
52,"White","Male","United-States"
20,"White","Male","United-States"
28,"White","Female","United-States"
50,"White","Male","United-States"
34,"White","Female","United-States"
28,"Other","Male","Puerto-Rico"
41,"White","Male","United-States"
28,"White","Male","United-States"
46,"White","Male","United-States"
32,"White","Male","United-States"
41,"Black","Female","United-States"
24,"Black","Female","United-States"
33,"White","Female","United-States"
46,"White","Male","United-States"
31,"White","Male","United-States"
35,"White","Male","United-States"
52,"White","Male","Mexico"
30,"White","Female","United-States"
34,"Black","Male","United-States"
34,"White","Female","United-States"
20,"White","Male","United-States"
17,"White","Male","United-States"
32,"White","Female","United-States"
29,"White","Male","United-States"
33,"White","Female","United-States"
25,"White","Male","United-States"
36,"White","Male","United-States"
23,"White","Male","Dominican-Republic"
63,"White","Male","United-States"
47,"White","Male","United-States"
40,"White","Female","United-States"
30,"White","Female","United-States"
27,"Asian-Pac-Islander","Male","Philippines"
33,"White","Male","United-States"
34,"Black","Male","United-States"
34,"White","Female","United-States"
23,"White","Male","United-States"
42,"White","Female","United-States"
29,"White","Male","United-States"
45,"White","Female","United-States"
24,"White","Male","United-States"
44,"White","Male","United-States"
27,"White","Male","Mexico"
20,"White","Male","United-States"
44,"Black","Female","United-States"
51,"Amer-Indian-Eskimo","Male","United-States"
20,"White","Male","United-States"
19,"Black","Female","United-States"
45,"White","Male","United-States"
60,"White","Male","United-States"
44,"White","Female","United-States"
40,"Asian-Pac-Islander","Male","United-States"
30,"White","Female","United-States"
38,"Black","Male","United-States"
23,"White","Male","United-States"
44,"White","Male","United-States"
54,"Black","Male","United-States"
32,"White","Male","United-States"
50,"White","Male","United-States"
24,"White","Female","United-States"
37,"White","Female","United-States"
52,"White","Male","United-States"
38,"White","Male","United-States"
49,"White","Male","United-States"
30,"White","Female","United-States"
60,"White","Male","United-States"
35,"White","Male","United-States"
30,"White","Male","United-States"
67,"White","Female","United-States"
46,"White","Female","United-States"
17,"White","Male","United-States"
22,"White","Male","United-States"
27,"White","Male","United-States"
23,"White","Female","United-States"
33,"White","Male","Portugal"
43,"White","Male","United-States"
28,"White","Male","United-States"
41,"White","Female","United-States"
25,"Black","Female","United-States"
59,"White","Male","United-States"
45,"White","Female","United-States"
38,"White","Male","United-States"
40,"White","Female","United-States"
46,"White","Male","United-States"
35,"White","Female","United-States"
34,"White","Female","United-States"
33,"White","Male","United-States"
41,"White","Female","United-States"
20,"White","Male","United-States"
23,"White","Male","El-Salvador"
26,"White","Female","United-States"
23,"White","Male","Poland"
62,"White","Male","United-States"
52,"White","Male","United-States"
58,"White","Female","France"
25,"White","Female","United-States"
24,"Black","Male","United-States"
19,"White","Male","United-States"
43,"White","Male","United-States"
47,"Black","Female","United-States"
39,"White","Female","United-States"
49,"White","Male","United-States"
32,"White","Male","United-States"
34,"White","Male","United-States"
28,"White","Male","United-States"
25,"Amer-Indian-Eskimo","Female","United-States"
34,"White","Male","United-States"
38,"White","Male","United-States"
50,"White","Male","United-States"
24,"Black","Male","United-States"
37,"White","Male","United-States"
44,"White","Male","United-States"
28,"White","Female","United-States"
42,"White","Male","United-States"
74,"White","Female","United-States"
38,"White","Male","United-States"
44,"White","Male","United-States"
44,"Other","Female","Puerto-Rico"
26,"White","Male","United-States"
36,"Black","Male","United-States"
41,"White","Female","United-States"
67,"White","Male","United-States"
39,"White","Male","United-States"
57,"Black","Female","United-States"
29,"White","Male","United-States"
31,"White","Female","United-States"
44,"White","Male","United-States"
29,"White","Male","United-States"
30,"White","Female","United-States"
27,"White","Male","United-States"
27,"White","Male","United-States"
32,"White","Female","United-States"
58,"White","Female","United-States"
35,"White","Male","United-States"
21,"White","Male","United-States"
28,"White","Male","United-States"
46,"White","Male","United-States"
36,"White","Female","United-States"
72,"White","Female","United-States"
35,"Black","Female","United-States"
33,"Black","Female","United-States"
69,"White","Female","United-States"
35,"White","Male","United-States"
34,"White","Female","United-States"
30,"White","Male","Mexico"
28,"White","Male","United-States"
54,"White","Male","United-States"
47,"White","Male","United-States"
24,"Black","Female","United-States"
52,"White","Male","United-States"
20,"Amer-Indian-Eskimo","Male","United-States"
43,"White","Male","United-States"
45,"White","Female","Mexico"
29,"White","Male","United-States"
47,"White","Male","United-States"
24,"White","Male","United-States"
51,"White","Male","United-States"
17,"White","Male","United-States"
37,"White","Male","United-States"
27,"White","Female","United-States"
29,"White","Male","United-States"
36,"White","Female","United-States"
58,"White","Female","United-States"
26,"White","Male","United-States"
57,"White","Male","United-States"
59,"White","Male","United-States"
27,"White","Male","United-States"
31,"White","Male","United-States"
21,"White","Female","United-States"
29,"White","Male","United-States"
18,"White","Male","United-States"
52,"White","Male","United-States"
57,"White","Male","United-States"
60,"White","Male","United-States"
31,"White","Male","Canada"
23,"White","Female","United-States"
27,"White","Male","United-States"
42,"White","Male","United-States"
25,"White","Male","United-States"
49,"White","Female","United-States"
32,"White","Male","United-States"
19,"White","Male","United-States"
60,"White","Female","United-States"
42,"White","Male","United-States"
35,"White","Male","United-States"
48,"Black","Female","United-States"
51,"White","Male","United-States"
29,"Amer-Indian-Eskimo","Male","United-States"
36,"Black","Male","United-States"
17,"White","Female","United-States"
52,"White","Female","United-States"
24,"White","Male","United-States"
24,"White","Male","United-States"
26,"White","Male","United-States"
27,"White","Female","United-States"
39,"White","Male","United-States"
30,"Black","Male","United-States"
50,"White","Male","United-States"
52,"White","Male","United-States"
46,"White","Male","United-States"
23,"White","Female","United-States"
45,"Black","Female","United-States"
65,"Black","Female","United-States"
29,"White","Male","United-States"
47,"White","Male","El-Salvador"
30,"Black","Male","United-States"
34,"White","Male","United-States"
38,"White","Male","United-States"
33,"White","Male","United-States"
49,"White","Male","United-States"
47,"Black","Female","United-States"
49,"Black","Female","United-States"
43,"White","Male","United-States"
30,"Black","Female","United-States"
58,"White","Male","United-States"
19,"White","Female","United-States"
21,"White","Male","United-States"
33,"White","Male","United-States"
47,"White","Male","Cuba"
52,"White","Male","United-States"
26,"White","Male","United-States"
60,"White","Male","United-States"
21,"White","Male","United-States"
36,"White","Male","United-States"
31,"White","Male","United-States"
50,"White","Male","United-States"
31,"White","Female","United-States"
71,"White","Male","United-States"
30,"White","Male","United-States"
20,"White","Male","United-States"
24,"White","Male","United-States"
35,"Asian-Pac-Islander","Male","Taiwan"
38,"White","Female","United-States"
27,"White","Female","United-States"
29,"Asian-Pac-Islander","Female","Philippines"
34,"White","Male","United-States"
44,"White","Male","United-States"
43,"White","Male","United-States"
44,"Black","Male","United-States"
35,"White","Male","United-States"
27,"White","Male","United-States"
43,"White","Male","United-States"
20,"White","Female","United-States"
42,"White","Female","United-States"
27,"White","Male","United-States"
42,"Black","Male","United-States"
24,"White","Male","United-States"
48,"White","Male","United-States"
17,"White","Male","United-States"
33,"White","Male","United-States"
50,"White","Male","United-States"
22,"White","Female","United-States"
17,"White","Male","United-States"
32,"White","Male","Mexico"
31,"White","Male","United-States"
58,"White","Male","United-States"
29,"White","Male","United-States"
37,"White","Male","Portugal"
34,"White","Male","United-States"
23,"Black","Male","United-States"
18,"White","Female","United-States"
34,"White","Female","United-States"
45,"White","Female","United-States"
41,"White","Male","Dominican-Republic"
26,"White","Male","United-States"
54,"White","Male","United-States"
24,"Black","Female","United-States"
42,"White","Male","United-States"
20,"White","Male","United-States"
23,"White","Female","United-States"
35,"White","Male","United-States"
31,"White","Male","United-States"
30,"White","Female","Poland"
19,"White","Female","United-States"
36,"White","Male","United-States"
31,"White","Female","Cuba"
21,"White","Male","United-States"
31,"White","Male","United-States"
46,"White","Female","United-States"
44,"White","Female","United-States"
40,"Black","Male","Jamaica"
45,"Black","Male","United-States"
60,"White","Male","United-States"
18,"White","Male","United-States"
28,"White","Male","United-States"
36,"Black","Female","United-States"
40,"White","Male","United-States"
36,"White","Female","Honduras"
31,"Black","Female","United-States"
33,"White","Male","United-States"
19,"White","Female","United-States"
22,"White","Female","United-States"
34,"White","Male","United-States"
33,"White","Male","United-States"
41,"White","Male","United-States"
29,"White","Male","United-States"
50,"White","Male","United-States"
42,"White","Male","United-States"
44,"White","Female","United-States"
20,"White","Female","United-States"
31,"White","Male","Mexico"
23,"White","Female","United-States"
55,"Asian-Pac-Islander","Female","United-States"
26,"White","Male","United-States"
25,"White","Female","United-States"
35,"White","Male","United-States"
36,"Black","Female","United-States"
43,"White","Male","United-States"
56,"Black","Female","United-States"
42,"White","Male","United-States"
19,"White","Female","United-States"
55,"White","Male","United-States"
42,"White","Female","United-States"
26,"White","Male","United-States"
17,"White","Male","United-States"
42,"White","Female","United-States"
55,"White","Male","United-States"
32,"Black","Female","United-States"
29,"Black","Male","Haiti"
46,"White","Male","United-States"
29,"White","Male","United-States"
22,"White","Male","United-States"
58,"White","Male","United-States"
23,"White","Male","United-States"
39,"White","Male","United-States"
27,"White","Male","United-States"
54,"White","Male","United-States"
33,"White","Female","United-States"
46,"White","Female","United-States"
37,"Black","Male","United-States"
36,"White","Female","United-States"
59,"White","Female","United-States"
34,"White","Male","Portugal"
53,"White","Male","United-States"
51,"White","Male","United-States"
32,"White","Female","United-States"
31,"White","Male","United-States"
22,"White","Female","Germany"
47,"White","Female","United-States"
32,"White","Male","United-States"
26,"White","Female","United-States"
37,"White","Male","Guatemala"
31,"White","Male","United-States"
37,"White","Female","United-States"
55,"White","Male","United-States"
23,"White","Male","United-States"
36,"White","Female","United-States"
43,"White","Male","United-States"
54,"White","Male","United-States"
28,"White","Female","United-States"
40,"White","Male","United-States"
41,"White","Male","United-States"
40,"Other","Female","United-States"
42,"Black","Female","United-States"
61,"White","Male","United-States"
18,"White","Male","United-States"
48,"White","Male","United-States"
41,"White","Male","United-States"
23,"White","Female","United-States"
60,"White","Male","United-States"
22,"Black","Male","United-States"
61,"White","Male","United-States"
25,"Black","Male","United-States"
46,"White","Male","United-States"
43,"White","Male","England"
43,"White","Male","United-States"
24,"Black","Male","United-States"
68,"White","Male","United-States"
31,"White","Female","United-States"
17,"White","Female","United-States"
32,"White","Male","United-States"
33,"White","Male","United-States"
64,"White","Male","United-States"
20,"White","Male","United-States"
30,"White","Female","United-States"
43,"White","Male","United-States"
22,"White","Male","United-States"
17,"White","Male","United-States"
47,"White","Female","Italy"
41,"White","Female","United-States"
56,"White","Male","United-States"
64,"White","Male","United-States"
47,"White","Male","United-States"
48,"White","Male","United-States"
31,"White","Female","United-States"
29,"White","Male","United-States"
30,"White","Female","United-States"
32,"White","Male","United-States"
57,"White","Male","United-States"
62,"White","Female","United-States"
39,"White","Female","United-States"
43,"White","Male","United-States"
24,"White","Male","United-States"
53,"White","Female","United-States"
26,"White","Male","United-States"
73,"White","Male","United-States"
55,"White","Male","United-States"
25,"White","Male","United-States"
41,"White","Female","United-States"
24,"White","Male","United-States"
63,"White","Male","United-States"
17,"White","Male","United-States"
35,"White","Male","United-States"
51,"White","Male","United-States"
62,"White","Female","United-States"
55,"White","Male","United-States"
43,"White","Male","United-States"
40,"White","Female","United-States"
37,"White","Male","United-States"
39,"White","Male","United-States"
31,"White","Male","United-States"
61,"White","Female","United-States"
26,"White","Female","United-States"
46,"White","Male","United-States"
26,"White","Female","United-States"
48,"White","Male","United-States"
34,"White","Male","United-States"
34,"White","Female","United-States"
59,"White","Male","United-States"
34,"White","Female","United-States"
49,"White","Female","United-States"
18,"White","Female","United-States"
43,"White","Male","Mexico"
48,"White","Male","United-States"
28,"White","Male","United-States"
33,"White","Male","United-States"
24,"White","Female","United-States"
21,"White","Male","United-States"
17,"White","Male","United-States"
39,"White","Male","United-States"
29,"White","Male","United-States"
44,"White","Male","United-States"
24,"White","Male","United-States"
71,"White","Male","United-States"
51,"Asian-Pac-Islander","Male","China"
55,"Black","Male","United-States"
41,"White","Male","United-States"
23,"Black","Female","United-States"
38,"White","Female","United-States"
39,"White","Male","United-States"
19,"White","Female","United-States"
49,"White","Female","United-States"
32,"White","Male","Philippines"
27,"White","Male","United-States"
38,"White","Male","United-States"
33,"White","Female","United-States"
23,"White","Male","United-States"
54,"Black","Male","United-States"
29,"White","Female","United-States"
35,"White","Male","United-States"
28,"Asian-Pac-Islander","Female","India"
37,"White","Male","United-States"
42,"White","Male","United-States"
40,"White","Male","United-States"
47,"White","Male","United-States"
22,"White","Female","United-States"
30,"White","Male","United-States"
28,"White","Male","United-States"
63,"White","Male","United-States"
51,"White","Male","United-States"
22,"White","Female","United-States"
35,"White","Male","United-States"
46,"White","Female","United-States"
37,"White","Male","United-States"
24,"Black","Male","United-States"
37,"White","Male","United-States"
53,"White","Male","United-States"
27,"White","Male","United-States"
38,"White","Male","United-States"
53,"White","Male","United-States"
34,"White","Male","United-States"
23,"Black","Male","United-States"
39,"White","Male","United-States"
43,"Asian-Pac-Islander","Female","South"
67,"Asian-Pac-Islander","Male","United-States"
81,"White","Male","United-States"
21,"White","Male","United-States"
23,"White","Male","United-States"
25,"White","Male","United-States"
42,"White","Female","Mexico"
38,"Black","Female","United-States"
32,"White","Male","United-States"
37,"White","Male","United-States"
51,"White","Male","United-States"
22,"White","Female","United-States"
33,"White","Female","Guatemala"
42,"White","Male","United-States"
51,"White","Male","United-States"
23,"White","Female","Mexico"
37,"White","Male","United-States"
37,"White","Male","United-States"
47,"White","Female","United-States"
41,"White","Male","United-States"
33,"White","Male","United-States"
31,"White","Male","United-States"
31,"Amer-Indian-Eskimo","Female","United-States"
35,"Black","Male","United-States"
38,"White","Male","United-States"
18,"White","Female","United-States"
20,"White","Male","United-States"
54,"Black","Female","United-States"
40,"White","Female","United-States"
36,"White","Female","United-States"
43,"White","Male","United-States"
44,"White","Male","United-States"
44,"White","Female","United-States"
43,"White","Male","United-States"
51,"Black","Female","United-States"
18,"White","Female","United-States"
51,"White","Male","United-States"
44,"White","Male","United-States"
33,"White","Male","United-States"
33,"White","Male","United-States"
42,"White","Male","United-States"
25,"White","Male","United-States"
32,"White","Female","United-States"
32,"White","Male","Mexico"
36,"White","Female","United-States"
28,"White","Male","United-States"
20,"White","Female","United-States"
35,"White","Male","United-States"
55,"White","Male","United-States"
48,"Asian-Pac-Islander","Male","India"
34,"White","Male","United-States"
28,"White","Female","United-States"
67,"White","Male","United-States"
37,"White","Male","United-States"
44,"White","Male","United-States"
25,"White","Female","United-States"
21,"White","Female","United-States"
40,"White","Male","United-States"
78,"Black","Female","United-States"
34,"White","Male","United-States"
49,"White","Female","United-States"
22,"White","Female","United-States"
60,"White","Male","United-States"
45,"White","Male","United-States"
63,"White","Female","United-States"
41,"Black","Female","United-States"
47,"White","Female","United-States"
44,"White","Male","United-States"
51,"White","Female","United-States"
46,"White","Male","United-States"
41,"White","Male","United-States"
50,"White","Male","United-States"
47,"White","Male","United-States"
35,"White","Male","United-States"
56,"White","Male","United-States"
45,"White","Male","United-States"
48,"White","Male","United-States"
40,"White","Male","United-States"
39,"White","Male","United-States"
20,"White","Male","United-States"
50,"White","Male","United-States"
38,"White","Female","United-States"
23,"White","Female","United-States"
31,"White","Male","United-States"
58,"White","Male","United-States"
66,"Black","Male","United-States"
39,"White","Male","United-States"
54,"White","Male","United-States"
26,"White","Male","Germany"
51,"White","Female","United-States"
34,"White","Male","United-States"
50,"White","Male","United-States"
42,"White","Male","United-States"
38,"White","Male","United-States"
48,"White","Male","United-States"
33,"White","Female","United-States"
51,"White","Female","United-States"
22,"White","Male","United-States"
41,"White","Male","Japan"
48,"White","Male","United-States"
42,"White","Female","United-States"
34,"White","Male","United-States"
23,"Black","Female","United-States"
56,"White","Male","Yugoslavia"
45,"White","Male","United-States"
48,"White","Female","United-States"
48,"Asian-Pac-Islander","Male","India"
31,"White","Female","United-States"
20,"White","Male","United-States"
27,"White","Male","United-States"
32,"Black","Female","United-States"
37,"White","Male","United-States"
34,"Black","Female","United-States"
90,"White","Female","United-States"
23,"Black","Female","United-States"
43,"White","Female","United-States"
44,"White","Male","United-States"
24,"White","Female","United-States"
28,"White","Male","United-States"
23,"White","Male","United-States"
20,"White","Female","United-States"
36,"White","Male","United-States"
61,"White","Male","United-States"
53,"White","Male","Canada"
30,"White","Male","United-States"
52,"White","Male","United-States"
38,"White","Male","Iran"
32,"White","Male","United-States"
30,"White","Male","United-States"
41,"White","Female","United-States"
49,"White","Male","United-States"
45,"White","Male","United-States"
43,"White","Male","United-States"
61,"White","Male","United-States"
54,"White","Male","Mexico"
34,"White","Female","United-States"
49,"White","Male","United-States"
38,"White","Male","United-States"
35,"White","Male","United-States"
36,"White","Male","United-States"
30,"White","Male","United-States"
36,"White","Female","United-States"
22,"White","Female","United-States"
38,"White","Male","United-States"
37,"White","Male","United-States"
48,"White","Female","United-States"
17,"White","Male","United-States"
19,"White","Male","United-States"
27,"Black","Female","United-States"
22,"Asian-Pac-Islander","Male","Taiwan"
49,"White","Male","United-States"
43,"White","Female","United-States"
43,"White","Female","United-States"
19,"White","Female","United-States"
58,"White","Male","United-States"
41,"White","Male","United-States"
31,"White","Male","United-States"
30,"White","Male","United-States"
32,"White","Male","United-States"
29,"White","Male","United-States"
42,"White","Male","United-States"
38,"White","Male","United-States"
41,"White","Male","United-States"
44,"White","Male","United-States"
31,"Asian-Pac-Islander","Male","China"
34,"White","Male","United-States"
21,"White","Male","United-States"
22,"Asian-Pac-Islander","Male","India"
62,"White","Male","United-States"
29,"White","Female","United-States"
43,"White","Female","United-States"
45,"White","Male","United-States"
39,"White","Male","Mexico"
41,"Black","Male","United-States"
34,"White","Female","United-States"
34,"White","Female","United-States"
31,"White","Male","United-States"
29,"White","Male","United-States"
41,"White","Male","United-States"
41,"White","Male","United-States"
35,"White","Male","Mexico"
33,"White","Female","United-States"
37,"White","Male","United-States"
69,"White","Female","United-States"
34,"White","Female","United-States"
36,"White","Male","United-States"
41,"White","Male","United-States"
58,"White","Female","United-States"
53,"Asian-Pac-Islander","Male","Japan"
29,"White","Male","United-States"
45,"White","Female","United-States"
